Move	B-event
the	I-event
finger	I-event
backward	O
to	O
about	B-quantity
4	I-quantity
inches	I-quantity
(	B-place
10	I-place
cm	I-place
)	I-place
away	I-place
,	O
then	O
back	O
again	O
.	O

5	O
Remove	O
the	B-substance
plastic	I-substance
wrap	I-substance
when	O
the	B-plant
sprouts	I-plant
emerge	O
.	O

This	B-abstract
gave	O
us	B-person
the	B-abstract
data	I-abstract
that	O
ants	B-animal
choose	O
more	B-substance
medicine	I-substance
after	O
they	B-animal
have	O
been	O
infected	O
.	O

Voters	B-person
see	O
the	B-person
two	I-person
major	I-person
party	I-person
nominees	I-person
as	O
exemplifying	O
what	O
is	O
worst	O
about	O
their	B-organization
respective	I-organization
parties	I-organization
,	O
and	O
they	B-person
want	O
something	O
better	O
.	O

On	O
September	B-time
24	I-time
,	O
1944	B-time
,	O
a	B-object
group	I-object
of	I-object
Japanese	I-object
ships	I-object
were	O
sunk	O
by	O
American	B-object
warplanes	I-object
in	I-object
Coron	I-object
waters	I-object
as	O
the	B-object
ships	I-object
retreated	O
from	O
Manila	B-place
Bay	I-place
.	O

