Blizzard	B-corporation
I	O
completed	O
the	O
challenges	O
for	O
the	O
oni	B-product
genji	I-product
and	O
dva	B-product
but	O
did	O
n	O
'	O
t	O
get	O
it	O
on	O
overwatch	B-product
can	O
you	O
help	O
?	O

RIP	O
CHIEFS	B-group
.	O

How	O
people	O
'	O
s	O
memory	O
is	O
short	O
.	O
Britian	B-location
went	O
to	O
war	O
for	O
Poland	B-location
and	O
then	O
helped	O
save	O
Europe	B-location
.	O
This	O
bankrupted	O
Britian	B-location
and	O
this	O
is	O
how	O
they	O
treat	O
us	O

This	O
is	O
just	O
a	O
info	O
about	O
Deadpool	B-creative-work
.	O
Most	O
of	O
this	O
shit	O
you	O
can	O
find	O
on	O
a	O
wiki	B-creative-work
.	O

My	O
name	O
is	O
Nathan	B-person

